UTC_Timestamp,x_ecef,y_ecef,z_ecef,x_eci,y_eci,z_eci,longitude,latitude,altitude,vx_eci,vy_eci,vz_eci,hora,minuto,segundo,dia,mes,year,ADM_status,EPS_status,HEATER_status,ADCS_status,PAYLOAD_status,ADM_resetS,EPS_resetS,ADCS_resetS,ADCS_resetH,COMMS_resetH,CDHS_reset,EPS_temperature,state_charge,battery_voltage,average_current,remaining_capacity,average_power,state_health,CH1_voltage,CH1_current,CH2_voltage,CH2_current,CH3_voltage,CH3_current,ADCS_current,COMMS_current,PAYLOAD_current,HEATER_current,fault_flags,communication_flags,transmission_flags_EPS,gyro_X,gyro_Y,gyro_Z,mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6,ADC2_CH1,ADC2_CH2,ADC2_CH3,ADC2_CH4,ADC2_CH5,ADC2_CH6,BNO055_temperature,ADCS_temperature1,transmission_flags_ADCS,package_counter,camera_mode,picture_counter,CDHS_CYCLE_TIME,CDHS_WDT,ADM_SOC_LIMIT,ADCS_SOC_LIMIT,COMMS_SOC_LIMIT,PLD_SOC_LIMIT,HEATER_CYCLE_TIME,HEATER_EMON_TIME,HEATER_EMOFF_TIME,ADM_CYCLE_TIME,ADM_BURN_TIME,ADM_MAX_CYCLES,ADM_WAIT_TIME1,ADM_WAIT_TIME2,ADM_ENABLE,COMMS_CYCLE_TIME,PLD_CYCLE_TIME,PLD_OP_MODE,CAM_RESOLUTION,CAM_EXPOSURE,CAM_SAVE_TIME,PLD_ENABLE
00:00:05 - 10/11/2020,3860175.2212863765,1683306.4770246344,5316032.960132156,1246.8402332643147,4025.696603912035,5313.552119526368,23.560570026080786,51.790274433414744,416.96343587774504,-7.360634849464403,2.141526198455389,0.10480750758728818,8,56,52,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,6.67,0,3.6,0.0,0.0,0.0,0,0.0,1.22,4.12,136.24,4.14,1.22,0,76,0,0,16,31,31,-1.1765,-6.6667,14.5098,0.0198,0.0198,0.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2,15,61,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:00:15 - 10/11/2020,3829526.2546195495,1750212.8276424932,5316595.037902999,1173.156520051661,4046.8550116572037,5314.260756562936,24.56187757817664,51.79789604664765,416.9676220333939,-7.376017954959125,2.0901097135514304,0.03691199677412012,8,57,2,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,6.67,0,3.6,0.0,0.0,0.0,0,0.0,1.22,4.12,137.46,4.12,1.22,0,72,0,0,16,31,31,-0.3922,-6.6667,14.5098,0.0198,0.0198,0.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-2,15,62,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:00:25 - 10/11/2020,3798488.883798489,1816942.1107160621,5316477.825553227,1099.3233255783136,4067.4978283677633,5314.290406063566,25.563322715432115,51.79627679368621,416.96952762348855,-7.390500973803069,2.0384338273412963,-0.03098358009418767,8,57,12,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,6.29,0,3.6,0.0,0.0,0.0,0,0.0,1.22,4.12,137.46,4.14,1.22,0,71,0,0,16,31,31,0.3922,-5.8824,14.5098,-69.8054,62.4262,117.6089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2,15,63,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:00:35 - 10/11/2020,3767066.655755625,1883486.6916896293,5315681.334101618,1025.3498040275042,4087.622523614469,5313.641055480295,26.564483718048113,51.78541781953015,416.9691525918357,-7.404038130006001,1.9864527623134887,-0.09888685554969497,8,57,22,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,6.29,0,3.6,0.0,0.0,0.0,0,0.0,1.22,4.12,137.46,4.12,1.22,0,69,0,0,16,31,31,1.1765,-5.8824,14.5098,0.0198,0.0198,0.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-2,15,64,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:00:45 - 10/11/2020,3735263.5344399028,1949838.1511282523,5314205.671891517,951.2459029362074,4107.226353396544,5312.312791471568,27.56492763368836,51.76532719525387,416.96649826207573,-7.41664467871478,1.934258062157579,-0.16675968721728576,8,57,32,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,6.29,0,3.6,0.0,0.0,0.0,0,0.0,1.22,4.12,137.46,4.12,1.22,0,68,0,0,16,31,31,1.1765,-5.098,14.5098,-71.5908,60.6409,117.1511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-2,15,65,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:00:55 - 10/11/2020,3703083.141872427,2015988.8919917853,5312051.025350511,877.0208373545413,4126.3069551257295,5310.305799789969,28.564235699051316,51.73601962706662,416.9615673278496,-7.428274844396436,1.8818039495699475,-0.23463259374740614,8,57,42,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,6.29,0,3.6,0.0,0.0,0.0,0,0.0,1.22,4.12,137.46,4.11,1.22,0,65,0,0,16,31,31,1.9608,-4.3137,14.5098,0.0198,0.0198,0.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-2,15,66,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:01:05 - 10/11/2020,3670529.130063916,2081931.3338910525,5309217.656288389,802.6837154569262,4144.861905167287,5307.620296666178,29.56199247482536,51.69751636760428,416.9543638145905,-7.438989659614725,1.8291056834372246,-0.3024750608092961,8,57,52,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,6.29,0,3.6,0.0,0.0,0.0,0,0.0,1.22,4.12,137.46,4.12,1.22,0,69,0,0,16,31,31,1.9608,-4.3137,15.2941,-72.2652,56.7926,116.9986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,15,67,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:01:15 - 10/11/2020,3637605.580378207,2147657.121627071,5305705.948354839,728.2446218586255,4162.888688389818,5304.256643318153,30.557775034954926,51.649845770832016,416.9448932055207,-7.448728085986538,1.7762242877679617,-0.3702565767005616,8,58,2,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,5.91,100,4.16,-146.63,1039.1,-0.61486,79,0.0,1.22,4.12,136.24,4.12,1.22,0,69,0,0,16,31,31,1.9608,-3.5294,15.2941,-71.9081,54.6105,115.6252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,15,68,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:01:25 - 10/11/2020,3604316.2172766123,2213158.717908067,5301516.338596387,653.7127255976084,4180.385140544836,5300.215300044221,31.551178233853094,51.59304226265673,416.93316226479317,-7.457535901722734,1.7230529607045417,-0.43800765823223187,8,58,12,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,5.91,0,3.6,0.0,0.0,0.0,0,0.0,1.22,4.12,137.46,4.12,1.22,0,71,0,0,16,31,31,1.1765,-2.7451,15.2941,0.0198,0.0198,0.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,15,69,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:01:35 - 10/11/2020,3570664.7939287433,2278428.604696609,5296649.339327845,579.0972871954851,4197.3490363426945,5295.4967118547775,32.541803766806055,51.527146518323,416.919179079948,-7.465382585389365,1.6696679856817187,-0.5056977927402595,8,58,22,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,5.91,100,4.16,-146.63,1037.15,-0.61486,79,0.0,1.22,4.12,136.24,4.12,1.22,0,69,0,0,16,31,31,0.3922,-1.9608,15.2941,-71.2337,51.8334,114.7097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,15,70,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:01:45 - 10/11/2020,3536655.504966173,2343458.4997150786,5291105.609084897,504.40834525048234,4213.778150534685,5290.101545020382,33.52924933730266,51.45220627981205,416.9029532673191,-7.472298652615018,1.616084620010065,-0.5733269814160116,8,58,32,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,5.91,100,4.16,-146.63,1036.17,-0.61486,79,0.0,1.22,4.12,137.46,4.12,1.22,0,73,0,0,16,31,31,0.3922,-1.1765,15.2941,0.0198,0.0198,0.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,15,71,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:01:55 - 10/11/2020,3502292.0342751853,2408241.193841184,5284885.808673961,429.6548397077277,4229.67045615414,5284.030450441877,34.51313757142682,51.368274245782615,416.88449555069394,-7.478253583886997,1.5623028595658965,-0.640879969580438,8,58,42,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,5.91,0,3.6,0.0,0.0,0.0,0,0.0,1.22,4.12,137.46,4.12,1.22,0,69,0,0,16,31,31,-0.3922,-1.1765,15.2941,-69.0517,49.3339,114.7097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3,15,72,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:02:05 - 10/11/2020,3467578.6493809205,2472768.458647709,5277990.779506827,354.8469005649205,4245.023834739428,5277.284208752917,35.4930852109868,51.27541030047138,416.863818277698,-7.4832321177453105,1.508353216391081,-0.7083491305964013,8,58,52,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,5.91,100,4.16,-146.63,1031.28,-0.61486,78,0.0,1.22,4.12,137.46,4.11,1.22,0,68,0,0,16,31,31,-1.1765,-1.1765,15.2941,-63.1006,48.6198,114.6334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,-3,15,73,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
00:02:15 - 10/11/2020,3432519.2367215543,2537032.874368832,5270421.375136666,279.9937117442209,4259.8363356082045,5269.863707293927,36.46873176803434,51.17367904085781,416.8409349160474,-7.4872647722461725,1.4541594024116913,-0.7757344663985847,8,59,2,12,6,0,15,83,150,83,83,0,0,0,0,0,19325,5.16,100,4.16,-146.63,1030.3,-0.61486,78,0.0,1.22,4.12,137.46,4.12,1.22,0,67,0,0,16,31,31,-1.9608,-1.1765,15.2941,-64.8463,47.5486,114.1756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,-3,15,74,0,0,10,2,60,30,50,50,30,40,30,1,60,4,30,30,1,5,255,1,3,1,3,0
